LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100910-9,Gram negative bacteria.colistin resistant,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.79,NAM,,ACTIVE,,1,,,,,N,Bact; Bowel movement; C&S; Colmycin; Colymycin; Cult; Cultures; Faecal; Faeces; Fecal; Feces; GN bact; Gram neg colistin resist; Identity or presence; Microbiology; NEG; Nominal; Point in time; Random; Spec; Stl; Stool = Fecal,Gram neg colistin resist Stl Cult,Both,,,,Gram negative bacteria.colistin resistant identified in Stool by Organism specific culture,,,,"Release 2.79: COMPONENT: Triggered by the coll w SCT:The understanding is that the word ""identified"" refers to the property ""PRID"", its presence in the component is redundant to the property. Therefore it is better to remove ""identified"" from the component.;",0,0,,,,,,2.73,,Gram negative bacteria.colistin resistant identified in Stool by Organism specific culture
100911-7,Campylobacter sp,PrThr,Pt,Stool,Ord,Organism specific culture,MICRO,2.73,ADD,,ACTIVE,,1,,,,,N,Bowel movement; C&S; Campy; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Spec; species; spp; Stl; Stool = Fecal,Campylobacter Stl Ql Cult,Both,,,,Campylobacter sp [Presence] in Stool by Organism specific culture,,,,,0,0,,,,,,2.73,,Campylobacter sp Org specific cx Ql (Stl)
103661-5,Campylobacter & Salmonella & Shigella sp,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.79,NAM,"Salmonella, Shigella, and Campylobacter species are the most common causes of acute bacterial enteritis in the United States",ACTIVE,,1,,,,,N,Bowel movement; C&S; Camp & Sal & Shig sp; Campy; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Identity or presence; Microbiology; Nominal; Point in time; Random; Sal; Salm + Shig; Salmonel; Shigellosis; Spec; species; spp; Stl; Stool = Fecal,Camp & Sal & Shig sp Stl Cult,Both,,,,Campylobacter and Salmonella and Shigella sp identified in Stool by Organism specific culture,,,,"Release 2.79: COMPONENT: Triggered by the coll w SCT:The understanding is that the word ""identified"" refers to the property ""PRID"", its presence in the component is redundant to the property. Therefore it is better to remove ""identified"" from the component.;",0,0,,,,,,2.77,,Campylobacter and Salmonella and Shigella sp identified Org specific cx Nom (Stl)
103662-3,Campylobacter & Salmonella & Shigella & Yersinia sp,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.79,NAM,,ACTIVE,,1,,,,,N,"Bowel movement; C&S; Camp, Sal, Shig,Yers sp; Campy; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Identity or presence; Microbiology; Nominal; Point in time; Random; Sal; Salmonel; Shigellosis; Spec; species; spp; Stl; Stool = Fecal","Camp, Sal, Shig,Yers sp Stl Cult",Both,,,,Campylobacter and Salmonella and Shigella and Yersinia sp identified in Stool by Organism specific culture,,,,"Release 2.79: COMPONENT: Triggered by the coll w SCT:The understanding is that the word ""identified"" refers to the property ""PRID"", its presence in the component is redundant to the property. Therefore it is better to remove ""identified"" from the component.;",0,0,,,,,,2.77,,Campylobacter and Salmonella and Shigella and Yersinia sp identified Org specific cx Nom (Stl)
103663-1,Salmonella & Shigella & Campylobacter & E. coli sp,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.79,NAM,,ACTIVE,,1,,,,,N,"Bowel movement; C&S; Campy; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Identity or presence; Microbiology; Nominal; Point in time; Random; Sal; Sal, Shige, Camp, E. coli sp id; Salmonel; Shigellosis; Spec; species; spp; Stl; Stool = Fecal","Sal, Shige, Camp, E. coli sp id Stl Cult",Both,,,,Salmonella and Shigella and Campylobacter and E. coli sp identified in Stool by Organism specific culture,,,,"Release 2.79: COMPONENT: Triggered by the coll w SCT:The understanding is that the word ""identified"" refers to the property ""PRID"", its presence in the component is redundant to the property. Therefore it is better to remove ""identified"" from the component.;",0,0,,,,,,2.77,,Salmonella and Shigella and Campylobacter and E. coli sp identified Org specific cx Nom (Stl)
103789-4,Aeromonas & plesiomonas sp,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.79,NAM,,ACTIVE,,1,,,,,N,Aero & plesi sp; Bowel movement; C&S; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Identity or presence; Microbiology; Nominal; Point in time; Random; Spec; species; spp; Stl; Stool = Fecal,Aero & plesi sp Stl Cult,Both,,,,Aeromonas and plesiomonas sp identified in Stool by Organism specific culture,,,,"Release 2.79: COMPONENT: Triggered by the coll w SCT:The understanding is that the word ""identified"" refers to the property ""PRID"", its presence in the component is redundant to the property. Therefore it is better to remove ""identified"" from the component.;",0,0,,,,,,2.77,,Aeromonas and plesiomonas sp identified Org specific cx Nom (Stl)
105620-9,Campylobacter & Salmonella & Shigella sp^^^2,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.79,NAM,,ACTIVE,,1,,,,,N,Bowel movement; C&S; Camp & Sal & Shig sp; Campy; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Identity or presence; II; Microbiology; Nominal; Point in time; Random; Sal; Salm + Shig; Salmonel; Shigellosis; Spec; species; spp; Stl; Stool = Fecal,Camp & Sal & Shig sp Stl Cult org #2,Observation,,,,Campylobacter and Salmonella and Shigella sp # 2 identified in Stool by Organism specific culture,,,,"Release 2.79: COMPONENT: Triggered by the coll w SCT:The understanding is that the word ""identified"" refers to the property ""PRID"", its presence in the component is redundant to the property. Therefore it is better to remove ""identified"" from the component.;",0,0,,,,,,2.78,,Campylobacter and Salmonella and Shigella sp identified # 2 Org specific cx Nom (Stl)
105621-7,Campylobacter & Salmonella & Shigella sp^^^3,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.79,NAM,,ACTIVE,,1,,,,,N,Bowel movement; C&S; Camp & Sal & Shig sp; Campy; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Identity or presence; III; Microbiology; Nominal; Point in time; Random; Sal; Salm + Shig; Salmonel; Shigellosis; Spec; species; spp; Stl; Stool = Fecal,Camp & Sal & Shig sp Stl Cult org #3,Observation,,,,Campylobacter and Salmonella and Shigella sp # 3 identified in Stool by Organism specific culture,,,,"Release 2.79: COMPONENT: Triggered by the coll w SCT:The understanding is that the word ""identified"" refers to the property ""PRID"", its presence in the component is redundant to the property. Therefore it is better to remove ""identified"" from the component.;",0,0,,,,,,2.78,,Campylobacter and Salmonella and Shigella sp identified # 3 Org specific cx Nom (Stl)
105622-5,Aeromonas sp,PrThr,Pt,Stool,Ord,Organism specific culture,MICRO,2.78,ADD,,ACTIVE,,1,,,,,N,Bowel movement; C&S; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Microbiology; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Spec; species; spp; Stl; Stool = Fecal,Aeromonas Stl Ql Cult,Observation,,,,Aeromonas sp [Presence] in Stool by Organism specific culture,,,,,0,0,,,,,,2.78,,Aeromonas sp Org specific cx Ql (Stl)
105926-0,Mycobacterium sp,Prid,Pt,Stool,Nom,Organism specific culture,MICRO,2.78,ADD,,ACTIVE,,1,,,,,N,Acid Fast; Acid Fast Bacilli; Acid fast bacillus; AFB; Bowel movement; C&S; Cult; Cultures; Faecal; Faeces; Fecal; Feces; Identity or presence; Microbiology; Myco; Mycobact; Nominal; Point in time; Random; Spec; species; spp; Stl; Stool = Fecal; Tuberculosis,Mycobacterium Stl Cult,Observation,,,,Mycobacterium sp identified in Stool by Organism specific culture,,,,,0,0,,,,,,2.78,,Mycobacterium sp identified Org specific cx Nom (Stl)
