LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100797-0,Testosterone.free^1st specimen post XXX challenge,MCnc,Pt,Ser,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,Acute specimen; After; CHEMISTRY.CHALLENGE TESTING; First; FR; Level; Mass concentration; Non-protein bound; p chal; Point in time; Pre immunization; PST; QNT; Quan; Quant; Quantitative; Random; Serum; sp1; sp1 p chal; Spec; SR; Testo; Testos; Testost; Testost Free; Testosterone.unconjugated,Testost Free sp1 p chal Ser-mCnc,Both,,,ng/mL,Testosterone Free [Mass/volume] in Serum --1st specimen post XXX challenge,ng/mL,,,,0,0,,,,,,2.73,,Testosterone Free 1st specimen post Unsp challenge (S) [Mass/Vol]
100798-8,Testosterone.free^2nd specimen post XXX challenge,MCnc,Pt,Ser,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,After; CHEMISTRY.CHALLENGE TESTING; Convalescent; FR; Level; Mass concentration; Non-protein bound; p chal; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; Serum; sp2; sp2 p chal; Spec; SR; Testo; Testos; Testost; Testost Free; Testosterone.unconjugated,Testost Free sp2 p chal Ser-mCnc,Both,,,ng/mL,Testosterone Free [Mass/volume] in Serum --2nd specimen post XXX challenge,ng/mL,,,,0,0,,,,,,2.73,,Testosterone Free 2nd specimen post Unsp challenge (S) [Mass/Vol]
100838-2,Testosterone^9th specimen post XXX challenge,MCnc,Pt,Ser/Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,After; CHEMISTRY.CHALLENGE TESTING; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; sp9; sp9 p chal; Spec; SR; Testo; Testos; Testost,Testost sp9 p chal SerPl-mCnc,Both,,,ng/mL,Testosterone [Mass/volume] in Serum or Plasma --9th specimen post XXX challenge,ng/mL,,,,0,0,,,,,,2.73,,Testosterone 9th specimen post Unsp challenge [Mass/Vol]
103227-5,Testosterone.free,MCnc,Pt,Ser/Plas,Qn,Calculated,CHEM,2.76,MAJ,,ACTIVE,,1,,,,,N,Calc; Calculation; Chemistry; FR; Level; Ly-Handelsman; Mass concentration; Nanjee-Wheeler; Non-protein bound; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Sodergard; SR; Testo; Testos; Testost; Testost Free; Testosterone.unconjugated; Vermeulen,Testost Free SerPl Calc-mCnc,Both,,,pg/ml,Testosterone Free [Mass/volume] in Serum or Plasma by Calculation,pg/mL,,,,0,0,,,,,,2.75,,Testosterone Free Calc [Mass/Vol]
105121-8,Testosterone,MCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.78,ADD,,ACTIVE,,1,,,,,N,Chemistry; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Testo; Testos; Testost,Testost SerPl LC/MS/MS-mCnc,Both,,,ng/dL,Testosterone [Mass/volume] in Serum or Plasma by LC/MS/MS,ng/dL,,,,0,0,,,,,,2.78,,Testosterone LC/MS/MS [Mass/Vol]
107500-1,Testosterone^3H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,3h p chal; After; Chemistry; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Testo; Testos; Testost,Testost 3h p chal SerPl LC/MS/MS-mCnc,Both,,,ug/dL,Testosterone [Mass/volume] in Serum or Plasma by LC/MS/MS --3 hours post XXX challenge,ug/dL,,,,0,0,,,,,,2.81,,Testosterone 3 Hr post Unsp challenge LC/MS/MS [Mass/Vol]
107501-9,Testosterone^4H post XXX challenge,MCnc,Pt,Ser/Plas,Qn,LC/MS/MS,CHEM,2.81,ADD,,ACTIVE,,1,,,,,N,4h p chal; After; Chemistry; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Test^4H p XXX chal; Testo; Testos; Testost,Testost 4h p chal SerPl LC/MS/MS-mCnc,Both,,,ug/dL,Testosterone [Mass/volume] in Serum or Plasma by LC/MS/MS --4 hours post XXX challenge,ug/dL,,,,0,0,,,,,,2.81,,Testosterone 4 Hr post Unsp challenge LC/MS/MS [Mass/Vol]
108779-0,Testosterone.free+weakly bound,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Associated; bnd; FR; Lab orders; Msmt; Non-protein bound; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Testo; Testos; Testost; Testost Free; Testosterone free+weakly bound; Testosterone.bioavailable; Testosterone.free+WB; Testosterone.unconjugated; Tumor marker,Testosterone.free+WB Msmt SerPl,Order,,,,Testosterone.free+weakly bound [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Testosterone.free+weakly bound [Measurement]
111384-4,Testosterone.free,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,FR; Lab orders; Msmt; Non-protein bound; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Testo; Testos; Testost; Testost Free; Testosterone.unconjugated,Testost Free Msmt SerPl,Order,,,,Testosterone Free [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Testosterone Free [Measurement]
111385-1,Testosterone,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Testo; Testos; Testost,Testost Msmt SerPl,Order,,,,Testosterone [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Testosterone [Measurement]
