LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
110253-2,Theophylline,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Aminophylline; Biophyllin; Continus; Lab orders; Lasma; Msmt; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Pro-vent; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline Msmt SerPl,Order,,,,Theophylline [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Theophylline [Measurement]
14915-3,Theophylline,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Substance concentration; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline SerPl-sCnc,Both,,,umol/L,Theophylline [Moles/volume] in Serum or Plasma,umol/L,,,,0,0,,,,,,1.0k,,Theophylline [Moles/Vol]
32115-8,Theophylline^peak,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,MIN,,ACTIVE,,1,,,,,N,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Post; Postdose; Post-dose; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Substance concentration; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline Peak SerPl-sCnc,Both,,,umol/L,Theophylline [Moles/volume] in Serum or Plasma --peak,umol/L,,,,0,0,,,,,,2.07,,Theophylline peak [Moles/Vol]
32116-6,Theophylline^trough,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,MIN,,ACTIVE,,1,,,,,N,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Pre; Predose; Pre-dose; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Substance concentration; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline Trough SerPl-sCnc,Both,,,umol/L,Theophylline [Moles/volume] in Serum or Plasma --trough,umol/L,,,,0,0,,,,,,2.07,,Theophylline trough [Moles/Vol]
35238-5,Theophylline,MSCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.42,MIN,,DISCOURAGED,,1,,,,,N,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline SerPl-msCnc,Both,,,,Theophylline [Mass or Moles/volume] in Serum or Plasma,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Theophylline [Mass or moles/Vol]
35596-6,Theophylline,MCnc,Pt,Ser/Plas,Qn,Screen,DRUG/TOX,2.42,MIN,,ACTIVE,,1,,,,,N,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Mass concentration; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; Scn; Scr; Scrn; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline SerPl Scn-mCnc,Both,,,ug/mL,Theophylline [Mass/volume] in Serum or Plasma by Screen method,ug/mL,,,,0,0,,,,,,2.13,,Theophylline Screen [Mass/Vol]
4049-3,Theophylline,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Mass concentration; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Theo; Theo-dur; Theolair; Uniphyllin; UniversalLabOrders,Theophylline SerPl-mCnc,Both,,,ug/mL,Theophylline [Mass/volume] in Serum or Plasma,ug/mL,,,,2271,0,,,,,,1.0,,Theophylline [Mass/Vol]
72673-7,Theophylline^trough,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Mass concentration; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Pre; Predose; Pre-dose; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline Trough SerPl-mCnc,Both,,,mg/L,Theophylline [Mass/volume] in Serum or Plasma --trough,mg/L,,,,19399,0,,,,,,2.42,,Theophylline trough [Mass/Vol]
80967-3,Theophylline.free,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.56,ADD,,ACTIVE,,1,,,,,,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; FR; Lasma; Level; Mass concentration; Non-protein bound; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Theo; Theo-dur; Theolair; Theophylline free; Uniphyllin,Theophylline free SerPl-mCnc,Both,,,mg/L,Theophylline free [Mass/volume] in Serum or Plasma,mg/L,,,,0,0,,,,,,2.56,,Theophylline free [Mass/Vol]
97163-0,Theophylline^peak,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.70,ADD,,ACTIVE,,1,,,,,N,Aminophylline; Biophyllin; Continus; DRUG/TOXICOLOGY; Drugs; Lasma; Level; Mass concentration; Nuelin; Phyllocontin; Pl; Plasma; Plsm; Point in time; Post; Postdose; Post-dose; Pro-vent; QNT; Quan; Quant; Quantitative; Random; Sabidal SR; SerP; SerPl; SerPlas; Serum; Serum or plasma; Slo-Phyllin; Somophyllin; Somophylline; SR; Theo; Theo-dur; Theolair; Uniphyllin,Theophylline Peak SerPl-mCnc,Both,,,ug/mL,Theophylline [Mass/volume] in Serum or Plasma --peak,ug/mL,,,,0,0,,,,,,2.70,,Theophylline peak [Mass/Vol]
