LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
13621-8,Coagulation thrombin induced,Time,Pt,-,Qn,Coag,COAG,2.70,MIN,,DEPRECATED,,1,,,,,Y,Clot; Clottable; Coag; Coagulation assay; Hematology; Heme; Point in time; QNT; Quan; Quant; Quantitative; Random; TCT; Throm; Thrombin clotting time; Thrombin time; Tilt tube; TT,Deprecated TT Qn,,,,s,Deprecated Thrombin time in Platelet poor plasma from control by Coagulation assay,s,Duplicate,,"Changed System from null to ""-"" (dash) for consistency across terms that do not specify a System.",0,0,,,,,,1.0k,,Thrombin time Coag [Time]
33525-7,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin induced.factor substitution.immediately after addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,Clot; Clottable; Coag; Coagulation assay; Control; Fac; Fact; Hematology; Heme; Immediatedly after 1:1 addition of; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT; TT imm NP,TT imm NP PPP,Observation,,,s,Thrombin time.factor substitution immediately after addition of normal plasma in Platelet poor plasma by Coagulation assay,s,,,,8380,0,,,,,,2.09,,Coagulation (PPP) [Time]
33673-5,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin factor induced.factor substitution.immediately after addition of protamine sulfate,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,Clot; Clottable; Coag; Coagulation assay; Fac; Fact; Hematology; Heme; Immediatedly after 1:1 addition of; Plas; Platelet poor plasma; Point in time; Protamine SO4; PSO4; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT imm SO4,TT imm SO4 PPP,Observation,,,s,Thrombin time.factor substitution immediately after addition of protamine sulfate in Platelet poor plasma by Coagulation assay,s,,,,13280,0,,,,,,2.09,,Coagulation (PPP) [Time]
46224-2,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin induced.after addition of heparinase,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,Clot; Clottable; Coag; Coagulation assay; Hematology; Heme; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT; TT P Hpase,TT P Hpase PPP,Both,,,s,Thrombin time after addition of heparinase in Platelet poor plasma by Coagulation assay,s,,,"Release 2.67: ORDER_OBS: Updated Order_Obs from ""Observation"" to ""Both""",11631,0,,,,,,2.19,,Coagulation (PPP) [Time]
46717-5,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin induced.factor substitution.immediately after addition of bovine thrombin,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,Beef; Clot; Clottable; Coag; Coagulation assay; Fac; Fact; Hematology; Heme; Immediatedly after 1:1 addition of; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT; TT imm Bovine Thrombin,TT imm Bovine Thrombin PPP,Observation,,,s,Thrombin time.factor substitution immediately after addition of bovine thrombin in Platelet poor plasma by Coagulation assay,s,,,,10635,0,,,,,,2.19,,Coagulation (PPP) [Time]
51868-8,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin induced.factor substitution.immediately after addition of XXX,COAG,2.82,NAM,,ACTIVE,,1,,"A corrected TCT time.(term descrip from RI dict). The additive is not identified. Prolonged TCT are repeated with the addition of protamine sulfate, a 1:1 mix with normal platelet free plasma, heparinase or Heptasorb, or reptilase(snake venom enzyme).",,,N,Clot; Clottable; Coag; Coagulation assay; Fac; Fact; Hematology; Heme; Immediatedly after 1:1 addition of; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT; TT imm XXX,TT imm XXX PPP,Observation,,,s,Thrombin time.factor substitution immediately after addition of XXX in Platelet poor plasma by Coagulation assay,s,,,,19264,0,,,,,,2.24,,Coagulation (PPP) [Time]
54219-1,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin induced.factor substitution.immediately after 1:4 addition of normal plasma,COAG,2.82,NAM,,ACTIVE,,1,,"this means that if a patient is on argatroban, lepirudin or a thrombin inhibitor, then a provider can order this test and it should help the provider with the care/treatment of the patient.    Ref Range Comments: Therapeutic ranges are:   Lepirudin: 90-160 s   Argatroban: 60-100 s   Bivalirudin: 60-90 s",,,N,Clot; Clottable; Coag; Coagulation assay; Control; Fac; Fact; Hematology; Heme; i; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT; TT imm 1:4 NP,TT imm 1:4 NP PPP,Observation,,,s,Thrombin time.factor substitution immediately after 1:4 addition of normal plasma in Platelet poor plasma by Coagulation assay,s,,,,11136,0,,,,,,2.27,,Coagulation (PPP) [Time]
5954-3,Coagulation thrombin induced,Time,Pt,PPP,Qn,Tilt tube,COAG,2.40,DEL,,DEPRECATED,,1,,,,,,Coag; Hematology; Heme; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; TCT; Throm; Thrombin clotting time; Thrombin time; TT,Deprecated TT PPP Qn,,,,s,Deprecated Thrombin time in Platelet poor plasma by Coagulation assay,s,Duplicate,,,0,0,,,,,,1.0d,,Thrombin time Tilt tube (PPP) [Time]
5955-0,Coagulation,Time,Pt,PPP^Control,Qn,Coag.thrombin induced,COAG,2.82,NAM,,ACTIVE,,1,,,,,Y,Clot; Clottable; Coag; Coagulation assay; Contrl; Hematology; Heme; Normal; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT,TT PPP Cont,Observation,,,s,Thrombin time in Platelet poor plasma from Control by Coagulation assay,s,,,,8375,0,,,,,,1.0d,,Coagulation Thrombin time (PPP control) [Time]
69918-1,Coagulation,Time,Pt,PPP,Qn,Coag.thrombin induced.high dose,COAG,2.82,NAM,,ACTIVE,,1,,,,,N,Clot; Clottable; Coag; Coagulation assay; Hematology; Heme; HiTT; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Throm; Tilt tube; TT,HiTT PPP,Both,,,s,Thrombin time.high dose in Platelet poor plasma by Coagulation assay,s,,,,9643,0,,,,,,2.40,,Coagulation Thrombin time.high dose (PPP) [Time]
