LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101627-8,Thyroglobulin heterophile Ab interference,PrThr,Pt,Ser,Ord,,CHEM,2.75,ADD,,ACTIVE,,1,,,,,N,Chemistry; Epstein-Barr virus; Hetero; Heteroph; Hetr; Mono screen; Mono slide; Mono spot; Mono test; Mononucleosis screen; Mononucleosis test; Monospot; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serum; SR; Tg; TG heterph Ab; TG heterph Ab intrf; Thyglobulin; Thyroglbn; Thyroglob; Tumor marker,TG heterph Ab intrf Ser Ql,Both,,,,Thyroglobulin heterophile Ab interference [Presence] in Serum,,,,,0,0,,,,,,2.75,,Thyroglobulin heterophile Ab interference Ql (S)
101628-6,Thyroglobulin heterophile Ab interference,Imp,Pt,Ser,Nar,,CHEM,2.75,ADD,,ACTIVE,,1,,,,,N,Chemistry; Epstein-Barr virus; Hetero; Heteroph; Hetr; Impression; Impression/interpretation of study; Impressions; Interp; Interpretation; Mono screen; Mono slide; Mono spot; Mono test; Mononucleosis screen; Mononucleosis test; Monospot; Narrative; Point in time; Random; Report; Serum; SR; Tg; TG heterph Ab; TG heterph Ab intrf; Thyglobulin; Thyroglbn; Thyroglob; Tumor marker,TG heterph Ab intrf Ser-Imp,Both,,,,Thyroglobulin heterophile Ab interference [Interpretation] in Serum Narrative,,,,,0,0,,,,,,2.75,,Thyroglobulin heterophile Ab interference Nar (S) [Interp]
110119-5,Thyroglobulin Ab,{Measurement},-,Ser,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Antithyroglob; Autoantibodies; Autoantibody; Hashimoto's thyroiditis; Lab orders; Msmt; Serum; SR; Tg; TgAbs; Thyglobulin; Thyroglbn; Thyroglob; Tumor marker,Thyroglob Ab Msmt Ser,Order,,,,Thyroglobulin Ab [Measurement] in Serum,,,,,0,0,,,,,,2.81,,Thyroglobulin Ab (S) [Measurement]
14918-7,Thyroglobulin,SCnc,Pt,Ser/Plas,Qn,,CHEM,2.34,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Endocrine; Endocrinology; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Tg; Thyglobulin; Thyroglbn; Thyroglob; Tumor marker,Thyroglob SerPl-sCnc,Both,,,pmol/L,Thyroglobulin [Moles/volume] in Serum or Plasma,pmol/L,,,,0,0,,,,,,1.0k,,Thyroglobulin [Moles/Vol]
15210-8,Thyroglobulin Ab,PrThr,Pt,Ser,Ord,,SERO,2.73,MIN,,ACTIVE,,1,,,,,,ABS; Aby; Antby; Anti; Antibodies; Antibody; Antithyroglob; Autoantibodies; Autoantibody; Endocrine; Endocrinology; Hashimoto's thyroiditis; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; Serology; Serum; SR; Tg; TgAbs; Thyglobulin; Thyroglbn; Thyroglob; Tumor marker; UniversalLabOrders,Thyroglob Ab Ser Ql,Both,,,,Thyroglobulin Ab [Presence] in Serum,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",2677,0,,,,,,1.0k,,Thyroglobulin Ab Ql (S)
17705-5,Thyroglobulin Ab.IgM,ACnc,Pt,Ser,Qn,,SERO,2.69,MIN,,ACTIVE,,1,,,,,Y,ABS; Aby; Antby; Anti; Antibodies; Antibody; Antithyroglob; Arbitrary concentration; Autoantibodies; Autoantibody; Endocrine; Endocrinology; Hashimoto's thyroiditis; Immune globulin M; Immunoglobulin M; Point in time; QNT; Quan; Quant; Quantitative; Random; Serology; Serum; SR; Tg; TgAbs; Thyglobulin; Thyroglbn; Thyroglob; Tumor marker,Thyroglob IgM Ser-aCnc,Both,,,,Thyroglobulin IgM Ab [Units/volume] in Serum,[arb'U]/mL,,,,0,0,,,,,,1.0l,,Thyroglobulin IgM Qn (S)
3013-0,Thyroglobulin,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Endocrine; Endocrinology; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tg; Thyglobulin; Thyroglbn; Thyroglob; Tumor marker; UniversalLabOrders,Thyroglob SerPl-mCnc,Both,,,ug/L;ng/dL; ng/mL,Thyroglobulin [Mass/volume] in Serum or Plasma,ng/dL,,,,729,0,,,,,,1.0,,Thyroglobulin [Mass/Vol]
38504-7,Thyroglobulin Ab,Titr,Pt,Ser,SemiQn,IF,SERO,2.75,MAJ,,ACTIVE,,1,,,,,N,ABS; Aby; ACIF; Antby; Anti; Antibodies; Antibody; Anticomplement Immunofluorescence; Antithyroglob; Autoantibodies; Autoantibody; Dilution factor; Dilution Factor (Titer); Endocrine; Endocrinology; FA; Fluorescent antibody; Fluoresent; Hashimoto's thyroiditis; IFA; Immune fluorescence; Immunoflour; Immunofluor; Immunofluorescence; Point in time; Random; Serology; Serum; SmQn; SR; Tg; TgAbs; Thyglobulin; Thyroglbn; Thyroglob; Time Resolved Fluorescence; Titer; Titered; Titre; TRF; Ttr; Tumor marker,Thyroglob Ab Titr Ser IF,Both,,,titer,Thyroglobulin Ab [Titer] in Serum by Immunofluorescence,{titer},,,,19203,0,,,,,,2.14,,Thyroglobulin Ab IF (S) [Titer]
38505-4,Thyroglobulin recovery,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Chemistry; Endocrine; Endocrinology; Mass Fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tg; TgR; Thyglobulin; Thyroglbn; Thyroglob; Thyroglob Recovery; Tumor marker; UniversalLabOrders,Thyroglob Recovery MFr SerPl,Both,,,%,Thyroglobulin recovery in Serum or Plasma,%,,,,5158,0,,,,,,2.14,,Thyroglobulin recovery [Mass fraction]
48387-5,Thyroglobulin recovery,PrThr,Pt,Ser/Plas,Ord,,CHEM,2.56,MIN,,ACTIVE,,1,,Positive;Negative,,,N,Chemistry; Endocrine; Endocrinology; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Tg; TgR; Thyglobulin; Thyroglbn; Thyroglob; Thyroglob Recovery; Tumor marker,Thyroglob Recovery SerPl Ql,Both,,,,Thyroglobulin recovery [Presence] in Serum or Plasma,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.21,,Thyroglobulin recovery Ql
