LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
110293-8,Transferrin,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Trf; TRFRN,Transferrin Msmt SerPl,Order,,,,Transferrin [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Transferrin [Measurement]
12949-4,Transferrin.carbohydrate deficient,MCnc,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,CDT; Chemistry; Glycosylated transferrin; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Trf; TRFRN,CDT SerPl-mCnc,Both,,,mg/dL,Transferrin.carbohydrate deficient [Mass/volume] in Serum or Plasma,mg/dL,,,,10790,0,,,,,,1.0j-a,,Transferrin.carbohydrate deficient [Mass/Vol]
13452-8,Iron/Transferrin,MRto,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Fe; Mass concentration ratio; Mass ratio; MCRto; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Trf; TRFRN,Iron/Transferrin SerPl,Observation,,,ug/g,Iron/Transferrin [Mass Ratio] in Serum or Plasma,ug/g,,,,3199,0,,,,,,1.0j-a,,Iron/Transferrin [Mass ratio]
13999-8,Transferrin.carbohydrate deficient,ACnc,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,Arbitrary concentration; CDT; Chemistry; Glycosylated transferrin; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Trf; TRFRN,CDT SerPl-aCnc,Both,,,arb U/L,Transferrin.carbohydrate deficient [Units/volume] in Serum or Plasma,[arb'U]/L,,,,0,0,,,,,,1.0k,,Transferrin.carbohydrate deficient Qn
21572-3,Transferrin.carbohydrate deficient.asialo/Transferrin.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,CDT; CDT Asialo; Chemistry; Glycosylated transferrin; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Tot; Totl; Trf; TRFRN,CDT Asialo/Tf MFr SerPl,Observation,,,%,Transferrin.carbohydrate deficient.asialo/Transferrin.total in Serum or Plasma,%,,,,17036,0,,,,,,1.0m,,Transferrin.carbohydrate deficient.asialo/Total transferrin [Mass fraction]
21573-1,Transferrin.carbohydrate deficient.disialo/Transferrin.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,CDT; CDT Disialo; Chemistry; Di-oligo; Glycosylated transferrin; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Tot; Totl; Trf; TRFRN,CDT Disialo/Tf MFr SerPl,Observation,,,%,Transferrin.carbohydrate deficient.disialo/Transferrin.total in Serum or Plasma,%,,,,0,0,,,,,,1.0m,,Transferrin.carbohydrate deficient.disialo/Total transferrin [Mass fraction]
21574-9,Transferrin.carbohydrate deficient.monosialo/Transferrin.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,CDT; CDT Monosialo; Chemistry; Glycosylated transferrin; Mass fraction; Mono-oligo; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Tot; Totl; Trf; TRFRN,CDT Monosialo/Tf MFr SerPl,Observation,,,%,Transferrin.carbohydrate deficient.monosialo/Transferrin.total in Serum or Plasma,%,,,,17037,0,,,,,,1.0m,,Transferrin.carbohydrate deficient.monosialo/Total transferrin [Mass fraction]
21575-6,Transferrin.carbohydrate deficient.pentasialo/Transferrin.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,CDT; CDT Pentasialo; Chemistry; Glycosylated transferrin; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Tot; Totl; Trf; TRFRN,CDT Pentasialo/Tf MFr SerPl,Observation,,,%,Transferrin.carbohydrate deficient.pentasialo/Transferrin.total in Serum or Plasma,%,,,,0,0,,,,,,1.0m,,Transferrin.carbohydrate deficient.pentasialo/Total transferrin [Mass fraction]
21576-4,Transferrin.carbohydrate deficient.tetrasialo/Transferrin.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,CDT; CDT Tetrasialo; Chemistry; Glycosylated transferrin; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Tot; Totl; Trf; TRFRN,CDT Tetrasialo/Tf MFr SerPl,Observation,,,%,Transferrin.carbohydrate deficient.tetrasialo/Transferrin.total in Serum or Plasma,%,,,,0,0,,,,,,1.0m,,Transferrin.carbohydrate deficient.tetrasialo/Total transferrin [Mass fraction]
21577-2,Transferrin.carbohydrate deficient.trisialo/Transferrin.total,MFr,Pt,Ser/Plas,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,CDT; CDT Trisialo; Chemistry; Glycosylated transferrin; Mass fraction; Percent; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; Siderophilin; SR; Tf; Tot; Totl; Trf; TRFRN,CDT Trisialo/Tf MFr SerPl,Observation,,,%,Transferrin.carbohydrate deficient.trisialo/Transferrin.total in Serum or Plasma,%,,,,0,0,,,,,,1.0m,,Transferrin.carbohydrate deficient.trisialo/Total transferrin [Mass fraction]
