LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,STATUS,CLASSTYPE,ORDER_OBS,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,VersionFirstReleased,LHCForms,FormalName
59570-2,"Urea nitrogen",SCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mmol/L,"Urea nitrogen [Moles/volume] in Blood",mmol/L,2.32,false,"Urea nitrogen:SCnc:Pt:Bld:Qn:"
12961-9,"Urea nitrogen",MCnc,Pt,BldA,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Arterial blood",mg/dL,1.0j-a,false,"Urea nitrogen:MCnc:Pt:BldA:Qn:"
12962-7,"Urea nitrogen",MCnc,Pt,BldV,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Venous blood",mg/dL,1.0j-a,false,"Urea nitrogen:MCnc:Pt:BldV:Qn:"
12963-5,"Urea nitrogen",MCnc,Pt,BldP,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Peripheral blood",mg/dL,1.0j-a,false,"Urea nitrogen:MCnc:Pt:BldP:Qn:"
6299-2,"Urea nitrogen",MCnc,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Both,,mg/dL,"Urea nitrogen [Mass/volume] in Blood",mg/dL,1.0f,false,"Urea nitrogen:MCnc:Pt:Bld:Qn:"
111399-2,"Urea nitrogen",{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,TRIAL,1,Order,,,"Urea nitrogen [Measurement] in Urine",,2.81,false,"Urea nitrogen:{Measurement}:-:Urine:-:"
12964-3,"Urea nitrogen^baseline",MCnc,Pt,Bld,Qn,,CHEM,2.40,ACTIVE,1,Observation,,mg/dL,"Urea nitrogen [Mass/volume] in Blood --baseline",mg/dL,1.0j-a,false,"Urea nitrogen^baseline:MCnc:Pt:Bld:Qn:"
74238-7,"HEDIS 2014 Value Set - Blood Urea Nitrogen",-,Pt,^Patient,-,,PANEL.HEDIS,2.67,DISCOURAGED,1,,,,"HEDIS 2014 Value Set - Blood Urea Nitrogen",,2.46,false,"HEDIS 2014 Value Set - Blood Urea Nitrogen:-:Pt:^Patient:-:"
44734-2,"Urea nitrogen/Creatinine",MRto,Pt,Bld,Qn,,CHEM,2.73,ACTIVE,1,Observation,,"g/g creatinine","Urea nitrogen/Creatinine [Mass Ratio] in Blood",g/g{creat},2.17,false,"Urea nitrogen/Creatinine:MRto:Pt:Bld:Qn:"
17760-0,"Urea nitrogen^pre dialysis",MCnc,Pt,BldV,Qn,,CHEM,2.42,ACTIVE,1,Both,,mg/L,"Urea nitrogen [Mass/volume] in Venous blood --pre dialysis",mg/L,1.0l,false,"Urea nitrogen^pre dialysis:MCnc:Pt:BldV:Qn:"
