LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
111399-2,Urea nitrogen,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Blood urea nitrogen; Lab orders; Msmt; N; N2; Nit; UA; UN; UR; Urn; UUN,UUN Msmt Ur,Order,,,,Urea nitrogen [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Urea nitrogen (U) [Measurement]
12967-6,Urea nitrogen,MCnc,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Blood urea nitrogen; Chemistry; Kidney; Level; Mass concentration; N; N2; Nephrology; Nit; QNT; Quan; Quant; Quantitative; Renal; UA; UN; UR; Urn; UUN,UUN 24h Ur-mCnc,Both,,,mg/dL,Urea nitrogen [Mass/volume] in 24 hour Urine,mg/dL,,,,3630,0,,,,,,1.0j-a,,Urea nitrogen (24H U) [Mass/Vol]
13506-1,Urea nitrogen renal clearance,VRat,Pt,Urine+Ser/Plas,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Blood urea nitrogen; BUN; Chemistry; Cl; Clear; Clearanc; Clearances; Clr; Flow; Kidney; N; N2; Nit; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UA; UN; UR; Ur+SerPl; Urn; UUN; Volume rate; vRate,UUN Cl Ur+SerPl-vRate,Both,,,mL/min,Urea nitrogen renal clearance in Urine and Serum or Plasma,mL/min,,,,11795,0,,,,,,1.0j-a,,Urea nitrogen renal clearance (U+S/P) [Vol/Time]
13821-4,Urea nitrogen/Creatinine,MRto,24H,Urine,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Blood urea nitrogen; Chemistry; CR; Crea; Creat; Kidney; Mass concentration ratio; Mass ratio; MCRto; N; N2; Nephrology; Nit; QNT; Quan; Quant; Quantitative; Renal; UA; UCr; UN; UR; Urn; UUN,UUN/Creat 24h Ur,Both,,,g/g creatinine,Urea nitrogen/Creatinine [Mass Ratio] in 24 hour Urine,g/g{creat},,,,0,0,,,,,,1.0k,,Urea nitrogen/Creatinine (24H U) [Mass ratio]
14938-5,Urea nitrogen,SCnc,Pt,Urine,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,Blood urea nitrogen; Chemistry; Level; N; N2; Nit; Point in time; QNT; Quan; Quant; Quantitative; Random; Substance concentration; UA; UN; UR; Urn; UUN,UUN Ur-sCnc,Both,,,mmol/L,Urea nitrogen [Moles/volume] in Urine,mmol/L,,,,0,0,,,,,,1.0k,,Urea nitrogen (U) [Moles/Vol]
14939-3,Urea nitrogen,SRat,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Blood urea nitrogen; Chemistry; Kidney; N; N2; Nephrology; Nit; QNT; Quan; Quant; Quantitative; Renal; sRate; Substance Rate; UA; UN; UR; Urn; UUN,UUN 24h Ur-sRate,Both,,,mmol/24 H,Urea nitrogen [Moles/time] in 24 hour Urine,mmol/(24.h),,,,16289,0,,,,,,1.0k,,Urea nitrogen (24H U) [Moles/Time]
24465-7,Urea nitrogen,MRat,12H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,12 hours; 12HR; Blood urea nitrogen; Chemistry; Mass Rate; mRate; N; N2; Nit; QNT; Quan; Quant; Quantitative; UA; UN; UR; Urn; UUN,UUN 12h Ur-mRate,Both,,,g/12 H,Urea nitrogen [Mass/time] in 12 hour Urine,g/(12.h),,,,19721,0,,,,,,1.0o,,Urea nitrogen (12H U) [Mass/Time]
3095-7,Urea nitrogen,MCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Blood urea nitrogen; Chemistry; Level; Mass concentration; N; N2; Nit; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UN; UniversalLabOrders; UR; Urn; UUN,UUN Ur-mCnc,Both,,,mg/dL,Urea nitrogen [Mass/volume] in Urine,mg/dL,,,,850,0,,,,,,1.0,,Urea nitrogen (U) [Mass/Vol]
3096-5,Urea nitrogen,MRat,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Blood urea nitrogen; Chemistry; Kidney; Mass Rate; mRate; N; N2; Nephrology; Nit; QNT; Quan; Quant; Quantitative; Renal; UA; UN; UniversalLabOrders; UR; Urn; UUN,UUN 24h Ur-mRate,Both,,,g/24 H,Urea nitrogen [Mass/time] in 24 hour Urine,g/(24.h),,,,3281,0,,,,,,1.0,,Urea nitrogen (24H U) [Mass/Time]
33355-9,Urea nitrogen,SCnc,24H,Urine,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,N,1 day; 24 hours; 24HR; Blood urea nitrogen; Chemistry; Kidney; Level; N; N2; Nephrology; Nit; QNT; Quan; Quant; Quantitative; Renal; Substance Concentration; UA; UN; UR; Urn; UUN,UUN 24h Ur-sCnc,Both,,,mmol/L,Urea nitrogen [Moles/volume] in 24 hour Urine,mmol/L,,,,0,0,,,,,,2.09,,Urea nitrogen (24H U) [Moles/Vol]
35235-1,Urea nitrogen,MSCnc,Pt,Urine,Qn,,CHEM,2.42,MIN,,DISCOURAGED,,1,,,,,N,Blood urea nitrogen; Chemistry; Level; N; N2; Nit; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UN; UR; Urn; UUN,UUN Ur-msCnc,Both,,,,Urea nitrogen [Mass or Moles/volume] in Urine,,,These were created for the sole purpose of facilitating use of LOINC for submissions for medication approval to the FDA and should not be used in routine laboratory reporting.,,0,0,,,,,,2.11,,Urea nitrogen (U) [Mass or moles/Vol]
