LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
10966-0,Glucose^2.5H post 75 g glucose PO,PrThr,Pt,Urine,Ord,Test strip,CHAL,2.77,MAJ,,ACTIVE,,1,,,,,,2.5h p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Ordinal; p 75 g Glc PO; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Glucose 2.5h p 75 g Glc PO Ur Ql Strip,Observation,,,,Glucose [Presence] in Urine by Test strip --2.5 hours post 75 g glucose PO,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0j-a,,Glucose 2.5 Hr post 75 g glucose PO Test strip Ql (U)
10967-8,Glucose^3.5H post 75 g glucose PO,PrThr,Pt,Urine,Ord,Test strip,CHAL,2.77,MAJ,,ACTIVE,,1,,,,,,3.5h p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Ordinal; p 75 g Glc PO; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Glucose 3.5h p 75 g Glc PO Ur Ql Strip,Observation,,,,Glucose [Presence] in Urine by Test strip --3.5 hours post 75 g glucose PO,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0j-a,,Glucose 3.5 Hr post 75 g glucose PO Test strip Ql (U)
10968-6,Glucose^4.5H post 75 g glucose PO,PrThr,Pt,Urine,Ord,Test strip,CHAL,2.77,MAJ,,ACTIVE,,1,,,,,,270 min; 4 1/2 hours; 4.5h p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Dip stick; Dipstick; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Ordinal; p 75 g Glc PO; Point in time; PR; PST; QL; Qual; Qualitative; Random; Screen; UA; UR; Urn,Glucose 4.5h p 75 g Glc PO Ur Ql Strip,Observation,,,,Glucose [Presence] in Urine by Test strip --4.5 hours post 75 g glucose PO,,,,"Release 2.77: SCALE_TYP: Updated the Scale back to Ord as these were inadvertently set to SemiQn during the 2.75 release when we added SemiQn.; Previous Releases: The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,1.0j-a,,Glucose 4.5 Hr post 75 g glucose PO Test strip Ql (U)
1491-0,Glucose^30M post 100 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,30M p 100 g Glc PO; After; CHEMISTRY.CHALLENGE TESTING; Endocrine; Endocrinology; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 100 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 30M p 100 g Glc PO Ur-mCnc,Observation,,,mg/dL,Glucose [Mass/volume] in Urine --30 minutes post 100 g glucose PO,mg/dL,,,,19954,0,,,,,,1.0,,Glucose 30 Min post 100 g glucose PO (U) [Mass/Vol]
1495-1,Glucose^1.5H post 100 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.34,MIN,,ACTIVE,,1,,,,,Y,1 1/2 hours; 1 1/2 HR; 1.5h p 100 g Glc PO; 1.5Hr; 90 min; 90 minutes; 90M; 90min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 100 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 1.5h p 100 g Glc PO Ur-mCnc,Observation,,,mg/dL,Glucose [Mass/volume] in Urine --1.5 hours post 100 g glucose PO,mg/dL,,,,0,0,,,,,,1.0,,Glucose 1.5 Hr post 100 g glucose PO (U) [Mass/Vol]
1503-2,Glucose^1H post 100 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 100 g Glc PO; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 100 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 1h p 100 g Glc PO Ur-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Urine --1 hour post 100 g glucose PO,mg/dL,,,,5712,0,,,,,,1.0,,Glucose 1 Hr post 100 g glucose PO (U) [Mass/Vol]
1505-7,Glucose^1H post 50 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 50 g Glc PO; 60 min; 60 minutes; 60M; 60min; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 50 g Glc; p 50 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 1h p 50 g Glc PO Ur-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Urine --1 hour post 50 g glucose PO,mg/dL,,,,5733,0,,,,,,1.0,,Glucose 1 Hr post 50 g glucose PO (U) [Mass/Vol]
1509-9,Glucose^1H post 75 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,1 hour; 1.0Hr; 1h p 75 g Glc PO; 60 min; 60 minutes; 60M; 60min; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 75 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 1h p 75 g Glc PO Ur-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Urine --1 hour post 75 g glucose PO,mg/dL,,,,5730,0,,,,,,1.0,,Glucose 1 Hr post 75 g glucose PO (U) [Mass/Vol]
1516-4,Glucose^2H post 100 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,120 min; 120 minutes; 120min; 2 hours; 2h p 100 g Glc PO; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 100 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 2h p 100 g Glc PO Ur-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Urine --2 hours post 100 g glucose PO,mg/dL,,,,19656,0,,,,,,1.0,,Glucose 2 Hr post 100 g glucose PO (U) [Mass/Vol]
1520-6,Glucose^2H post 75 g glucose PO,MCnc,Pt,Urine,Qn,,CHAL,2.73,MIN,,ACTIVE,,1,,,,,Y,120 min; 120 minutes; 120min; 2 hours; 2h p 75 g Glc PO; 75Gm; After; CHEMISTRY.CHALLENGE TESTING; Glu; Glu tol; Gluc; Glucose tolerance; Glucoseur; GTT; Level; Mass concentration; p 75 g Glc PO; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; UA; UR; Urn,Glucose 2h p 75 g Glc PO Ur-mCnc,Both,,,mg/dL,Glucose [Mass/volume] in Urine --2 hours post 75 g glucose PO,mg/dL,,,,6188,0,,,,,,1.0,,Glucose 2 Hr post 75 g glucose PO (U) [Mass/Vol]
