LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
108002-7,Urobilinogen,{Measurement},-,Urine,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; UA; UBG; UR; Urn; Urobili; Urobilngn,Urobilinogen Msmt Ur,Order,,,,Urobilinogen [Measurement] in Urine,,,,,0,0,,,,,,2.81,,Urobilinogen (U) [Measurement]
12269-7,Urobilinogen,PrThr,24H,Urine,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,1 day; 24 hours; 24HR; Chemistry; Ordinal; PR; QL; Qual; Qualitative; Screen; UA; UBG; UR; Urn; Urobili; Urobilngn,Urobilinogen 24h Ur Ql,Both,,,,Urobilinogen [Presence] in 24 hour Urine,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",10977,0,,,,,,1.0j-a,,Urobilinogen Ql (24H U)
13658-0,Urobilinogen,PrThr,Pt,Urine,Ord,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,,Chemistry; Ordinal; Point in time; PR; QL; Qual; Qualitative; Random; Screen; UA; UBG; UR; Urn; Urobili; Urobilngn,Urobilinogen Ur Ql,Both,,,,Urobilinogen [Presence] in Urine,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",951,0,,,,,,1.0k,,Urobilinogen Ql (U)
19161-9,Urobilinogen,ACnc,Pt,Urine,SemiQn,Test strip,UA,2.75,MAJ,Quantitated in 'Ehrlich units',ACTIVE,,1,,0.2,,,Y,Arbitrary concentration; Dip stick; Dipstick; Point in time; Random; SmQn; UA; UBG; UniversalLabOrders; UR; URINALYSIS; Urn; Urobili; Urobilngn,Urobilinogen Ur Strip-aCnc,Both,,,Ehrlich units/dL,Urobilinogen [Units/volume] in Urine by Test strip,{Ehrlich'U}/dL,,,,221,0,,,,,,1.0l,,Urobilinogen Test strip SemiQn (U)
20405-7,Urobilinogen,MCnc,Pt,Urine,SemiQn,Test strip,UA,2.75,MAJ,,ACTIVE,,1,,,,,Y,Dip stick; Dipstick; Level; Mass concentration; Point in time; Random; SmQn; UA; UBG; UniversalLabOrders; UR; URINALYSIS; Urn; Urobili; Urobilngn,Urobilinogen Ur Strip-mCnc,Both,,,mg/dL,Urobilinogen [Mass/volume] in Urine by Test strip,mg/dL,,,,374,0,,,,,,1.0m,,Urobilinogen Test strip (U) [Mass/Vol]
28007-3,Urobilinogen,ARat,24H,Urine,Qn,,CHEM,2.70,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Arbitrary rate; Chemistry; QNT; Quan; Quant; Quantitative; UA; UBG; UR; Urn; Urobili; Urobilngn,Urobilinogen 24h Ur,Both,,,Ehrlich units/24 H,Urobilinogen [Units] in 24 hour Urine,/(24.h),,,,0,0,,,,,,2.00,,Urobilinogen (24H U) [Units/Time]
3107-0,Urobilinogen,MCnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,Chemistry; Level; Mass concentration; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UBG; UniversalLabOrders; UR; Urn; Urobili; Urobilngn,Urobilinogen Ur-mCnc,Both,,,mg/dL,Urobilinogen [Mass/volume] in Urine,mg/dL,,,,275,0,,,,,,1.0,,Urobilinogen (U) [Mass/Vol]
3108-8,Urobilinogen,MRat,24H,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,Y,1 day; 24 hours; 24HR; Chemistry; Mass Rate; mRate; QNT; Quan; Quant; Quantitative; UA; UBG; UR; Urn; Urobili; Urobilngn,Urobilinogen 24h Ur-mRate,Both,,,mg/24 H,Urobilinogen [Mass/time] in 24 hour Urine,mg/(24.h),,,,11385,0,,,,,,1.0,,Urobilinogen (24H U) [Mass/Time]
3109-6,Urobilinogen,MRat,2H,Urine,Qn,,CHEM,2.42,MIN,,ACTIVE,,1,,,,,Y,120 min; 120 minutes; 120min; 2 hours; 2HR; Chemistry; Mass Rate; mRate; QNT; Quan; Quant; Quantitative; UA; UBG; UR; Urn; Urobili; Urobilngn,Urobilinogen 2h Ur-mRate,Both,,,mg/2 H,Urobilinogen [Mass/time] in 2 hour Urine,mg/(2.h),,,,0,0,,,,,,1.0,,Urobilinogen (2H U) [Mass/Time]
32727-0,Urobilinogen,ACnc,Pt,Urine,Qn,,CHEM,2.73,MIN,,ACTIVE,,1,,,,,N,Arbitrary concentration; Chemistry; Point in time; QNT; Quan; Quant; Quantitative; Random; UA; UBG; UR; Urn; Urobili; Urobilngn,Urobilinogen Ur-aCnc,Both,,,Ehrlich units/dL,Urobilinogen [Units/volume] in Urine,{Ehrlich'U}/dL,,,,12571,0,,,,,,2.09,,Urobilinogen Qn (U)
