LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
100804-4,Vasopressin^1st specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,Acute specimen; ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; First; Level; p chal; Pl; Plasma; Plsm; Point in time; Pre immunization; PST; QNT; Quan; Quant; Quantitative; Random; sp1; sp1 p chal; Spec; Substance concentration; VP,Vasopressin sp1 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --1st specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 1st specimen post Unsp challenge (P) [Moles/Vol]
100805-1,Vasopressin^2nd specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Convalescent; Level; p chal; Pl; Plasma; Plsm; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; sp2; sp2 p chal; Spec; Substance concentration; VP,Vasopressin sp2 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --2nd specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 2nd specimen post Unsp challenge (P) [Moles/Vol]
100806-9,Vasopressin^3rd specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp3; sp3 p chal; Spec; Substance concentration; VP,Vasopressin sp3 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --3rd specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 3rd specimen post Unsp challenge (P) [Moles/Vol]
100807-7,Vasopressin^4th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp4; sp4 p chal; Spec; Substance concentration; VP,Vasopressin sp4 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --4th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 4th specimen post Unsp challenge (P) [Moles/Vol]
100808-5,Vasopressin^5th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp5; sp5 p chal; Spec; Substance concentration; VP,Vasopressin sp5 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --5th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 5th specimen post Unsp challenge (P) [Moles/Vol]
100809-3,Vasopressin^6th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp6; sp6 p chal; Spec; Substance concentration; VP,Vasopressin sp6 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --6th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 6th specimen post Unsp challenge (P) [Moles/Vol]
100810-1,Vasopressin^7th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,^7th spec pst XXX chal; ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp7; sp7 p chal; Spec; Substance concentration; VP,Vasopressin sp7 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --7th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 7th specimen post Unsp challenge (P) [Moles/Vol]
100811-9,Vasopressin^8th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp8; sp8 p chal; Spec; Substance concentration; VP,Vasopressin sp8 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --8th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 8th specimen post Unsp challenge (P) [Moles/Vol]
100812-7,Vasopressin^9th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp9; sp9 p chal; Spec; Substance concentration; VP,Vasopressin sp9 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --9th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 9th specimen post Unsp challenge (P) [Moles/Vol]
100813-5,Vasopressin^10th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp10; sp10 p chal; Spec; Substance concentration; VP,Vasopressin sp10 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --10th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 10th specimen post Unsp challenge (P) [Moles/Vol]
100814-3,Vasopressin^11th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp11; sp11 p chal; Spec; Substance concentration; VP,Vasopressin sp11 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --11th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 11th specimen post Unsp challenge (P) [Moles/Vol]
100815-0,Vasopressin^12th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp12; sp12 p chal; Spec; Substance concentration; VP,Vasopressin sp12 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --12th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 12th specimen post Unsp challenge (P) [Moles/Vol]
100896-0,Vasopressin^13th specimen post XXX challenge,SCnc,Pt,Plas,Qn,,CHAL,2.73,ADD,,ACTIVE,,1,,,,,N,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Level; p chal; Pl; Plasma; Plsm; Point in time; PST; QNT; Quan; Quant; Quantitative; Random; sp13; sp13 p chal; Spec; Substance concentration; VP,Vasopressin sp13 p chal Plas-sCnc,Both,,,pmol/L,Vasopressin [Moles/volume] in Plasma --13th specimen post XXX challenge,pmol/L,,,,0,0,,,,,,2.73,,Vasopressin 13th specimen post Unsp challenge (P) [Moles/Vol]
12982-5,Vasopressin^2nd specimen post XXX challenge,MCnc,Pt,Plas,Qn,,CHAL,2.42,MIN,,ACTIVE,,1,,,,,Y,ADH; Adiuretin; After; Antidiuretic hormone; Arginine vasopressin hormone; AVH; CHEMISTRY.CHALLENGE TESTING; Convalescent; Level; Mass concentration; p chal; Pl; Plasma; Plsm; Point in time; Post immunization; PST; QNT; Quan; Quant; Quantitative; Random; Second; sp2; sp2 p chal; Spec; VP,Vasopressin sp2 p chal Plas-mCnc,Observation,,,pg/mL,Vasopressin [Mass/volume] in Plasma --2nd specimen post XXX challenge,pg/mL,,,,0,0,,,,,,1.0j-a,,Vasopressin 2nd specimen post Unsp challenge (P) [Mass/Vol]
