LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
102006-4,von Willebrand factor.platelet binding activity without ristocetin,ACnc,Pt,PPP,Qn,LA,COAG,2.82,MIN,,DISCOURAGED,,1,,,,,N,Activ; Actvty; Arbitrary concentration; Bind; COAGULATION; Fac; Fact; LAT; Latex agglutination; Movements; Pl; Plas; Platelet poor plasma; Platelets; Platelt; Plt; Point in time; QNT; Quan; Quant; Quantitative; Random; Thrombocyte; Thrombocytes; Von will; Vonwillebrand; vWf; vWf PBA W/O Rist,vWf PBA W/O Rist PPP LA-aCnc,Both,,,arb U/mL,von Willebrand factor.platelet binding activity without ristocetin [Units/volume] in Platelet poor plasma by Latex agglutination,[arb'U]/mL,,,"Release 2.79: Status: This code is intended to report the percent of normal vWF activity based on GPIb assay, but Siemens, the company that produces the current assay calls this percent a U/mL.  As a result this ACnc test represents the same result as 107378-2 which defines the result as actual/Normal %.;",0,0,,,,,,2.75,,von Willebrand factor.platelet binding activity without ristocetin LA Qn (PPP)
107372-5,von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/Normal,RelRto,Pt,PPP,Qn,Turbidimetry,COAG,2.81,NAM,"This test measures von Willebrand factor (VWF) activity using a turbidimetric method with recombinant GPIb containing gain-of-function mutations. It quantifies VWF binding to GPIb without requiring ristocetin, offering improved precision and sensitivity compared to traditional VWF:RCo assay [PMID: 25192242]",ACTIVE,,1,,,,,N,Act/Nor; Activ; Actvty; COAGULATION; Control; Fac; Fact; FCN; Func; Funct; gG; Glycoprot; Glycoproteins; GP; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Relative ratio; ristocetin-free; Von will; Vonwillebrand; vWf; vWf activity.GPIbM actual; vWf:Ac; vWf:GPib,GPIbM Act/Nor PPP,Observation,,,%,von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM)von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/normal in Platelet poor plasma by Turbidimetry,%,,,Release 2.81: COMPONENT: property RelRto (Relative Ratio) requires a denominator;,0,0,,,,,,2.79,,von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/normal Turbidimetry (PPP) [Relative ratio]
107378-2,von Willebrand factor activity.ristocetin cofactor (GPIbR) actual/Normal,RelRto,Pt,PPP,Qn,Turbidimetry,COAG,2.79,ADD,,ACTIVE,,1,,,,,N,Act/Nor; Activ; Actvty; COAGULATION; Cofact; Control; Fac; Fact; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Relative ratio; Von will; Vonwillebrand; vWf; vWF activity GPIbR; vWf:Ac,vWF activity GPIbR Act/Nor PPP,Observation,,,%,von Willebrand factor activity.ristocetin cofactor (GPIbR) actual/normal in Platelet poor plasma by Turbidimetry,%,,,,0,0,,,,,,2.79,,von Willebrand factor activity.ristocetin cofactor (GPIbR) actual/normal Turbidimetry (PPP) [Relative ratio]
107616-5,von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/normal,RelRto,Pt,PPP,Qn,IA,COAG,2.81,ADD,,ACTIVE,,1,,,,,N,Act/Nor; Activ; Actvty; COAGULATION; Control; EIA; ELFA; ELISA; Enzyme immunoassay; Fac; Fact; FCN; Func; Funct; gG; Glycoprot; Glycoproteins; GP; IAA; MEIA; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Relative ratio; ristocetin-free; SUDS; Von will; Vonwillebrand; vWf; vWf activity.GPIbM actual; vWf:Ac; vWf:GPib,GPIbM Act/Nor PPP IA,Observation,,,%,von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM)von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/normal in Platelet poor plasma by Immunoassay,%,,,,0,0,,,,,,2.81,,von Willebrand factor activity.glycoprotein Ib gain of function (GPIbM) actual/normal IA (PPP) [Relative ratio]
107641-3,von Willebrand factor activity.GPIbM/von Willebrand factor Ag,Ratio,Pt,PPP,Qn,Turbidimetry,COAG,2.82,MIN,,ACTIVE,,1,,,,,N,Activ; Actvty; COAGULATION; Fac; Fact; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; Rto; Von will; Vonwillebrand; vWf; vWf activity.GPIbM; vWf activity.GPIbM/vWf Ag; vWf:Ac; vWF:Ag,vWf activity.GPIbM/vWF Ag PPP-Rto,Both,,,Ratio,von Willebrand factor activity.GPIbM/von Willebrand factor (vWf) Ag [Ratio] in Platelet poor plasma by Turbidimetry,{ratio},,,,0,0,,,,,,2.81,,von Willebrand factor activity.GPIbM/vWf Ag Turbidimetry (PPP) [Ratio]
50377-1,von Willebrand factor.collagen binding activity actual/Normal,RelRto,Pt,PPP,Qn,IA,COAG,2.73,MIN,,ACTIVE,,1,,CBA Activity: 50-150%,,,N,Act/Nor; Activ; Actvty; Bind; COAGULATION; Control; EIA; ELFA; ELISA; Enzyme immunoassay; Fac; Fact; Hematology; Heme; IAA; MEIA; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Relative ratio; SUDS; Von will; Vonwillebrand; vWf; vWF CBA; vWF:CBA,vWF CBA Act/Nor PPP IA,Both,,,%,von Willebrand factor (vWf).collagen binding activity actual/normal in Platelet poor plasma by Immunoassay,%,,,"The EIA method, which was always intended to cover more than just enzyme-linked immunoassay and whose display name for the long common name has always been Immunoassay, was renamed IA in order to eliminate ambiguity about whether the method has a broader meaning than just enzyme-linked immunoassay. Likewise, EIA.rapid was renamed IA.rapid. These changes were approved by the Laboratory LOINC Committee in June 2016.",9774,0,,,,,,2.22,,vWf.collagen binding activity actual/normal IA (PPP) [Relative ratio]
50378-9,von Willebrand factor.collagen binding activity/von Willebrand factor Ag,Ratio,Pt,PPP,Qn,IA,COAG,2.73,MIN,"This term represents a ratio of two results that are expressed as percentages of normal: the von Willebrand factor.collagen binding activity and the von Willebrand factor antigen concentration, both of which are reported as actual/Normal. The von Willebrand factor (vWF) collagen binding activity to antigen ratio can help distinguish different types of von Willebrand disease (VWD). VWD types 1 and 3 are usually associated with a quantitative decrease in vWF, which would affect both the vWF collagen binding activity as well as vWF antigen concentration, while type 2 is associated with a functional defect in VWF, which would affect the activity but not the amount of antigen present. Therefore, patients with type 2 VWD are likely to have a lower vWF collagen binding activity to antigen ratio (less than 0.5) compared to patients with types 1 or 3 VWD.",ACTIVE,,1,(vWF collagen binding activity actual/Normal)/(vWF Ag actual/Normal),CBA Ratio: 0.6-5.0 ratio,,,N,Activ; Actvty; Bind; COAGULATION; EIA; ELFA; ELISA; Enzyme immunoassay; Fac; Fact; Hematology; Heme; IAA; MEIA; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Ratios; Rto; SUDS; Von will; Vonwillebrand; vWf; vWF CBA; vWF:Ag; vWF:CBA,vWF CBA/vWF Ag PPP IA-Rto,Observation,,,ratio,von Willebrand factor (vWf).collagen binding activity/von Willebrand factor Ag [Ratio] in Platelet poor plasma by Immunoassay,{ratio},,,"The EIA method, which was always intended to cover more than just enzyme-linked immunoassay and whose display name for the long common name has always been Immunoassay, was renamed IA in order to eliminate ambiguity about whether the method has a broader meaning than just enzyme-linked immunoassay. Likewise, EIA.rapid was renamed IA.rapid. These changes were approved by the Laboratory LOINC Committee in June 2016.",7393,0,,,,,,2.22,,vWf.collagen binding activity/vWf Ag IA (PPP) [Ratio]
68324-3,von Willebrand factor.activity actual/Normal,RelRto,Pt,PPP,Qn,IA,COAG,2.73,MIN,This is an automated latex enhanced immunoassayterm  based on HemosIL's von Willebrand Factor Activity reagent kit.,ACTIVE,,1,,,,,N,Act/Nor; Activ; Actvty; COAGULATION; Control; EIA; ELFA; ELISA; Enzyme immunoassay; Fac; Fact; Hematology; Heme; IAA; MEIA; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Relative ratio; SUDS; Von will; Vonwillebrand; vWf; vWf:Ac,vWf:Ac Act/Nor PPP IA,Both,,,%,von Willebrand factor (vWf).activity actual/normal in Platelet poor plasma by Immunoassay,%,,,"Renamed Method from ""Imm"" to ""IA"" for consistency across classes (approved by Laboratory LOINC Committee 2016 12).",6627,0,,,,,,2.38,,vWf.activity actual/normal IA (PPP) [Relative ratio]
73978-9,von Willebrand factor.activity,ACnc,Pt,PPP,Qn,IA,COAG,2.73,MIN,"Von Willebrand Factor Activity (VWF Activity, vWF:Act) in plasma specimens can be quantitatively determined by immunological methods. This code is created for, but not limited in use to, the submitter's kit, HemosIL Von Willebrand Factor Activity Kit, which determines VWF activity by measuring the increase of turbidity produced by the agglutination of the latex reagent.  This assay uses a specific anti-VWF monoclonal antibody directed against the platelet binding site of VWF, glycoprotein Ib receptor, and reacts with the VWF in patient plasma. The degree of agglutination is directly proportional to the activity of VWF in the sample and is determined by measuring the decrease of transmitted light caused by the aggregates.  The submitter's lab reports the results in U/mL where U represents ""units"" rather than the standard meaning of U, which is mmol/Min, a measure of enzyme rates.  Additional testing (e.g. ristocetin cofactor assay) may be needed to confirm a diagnosis of von Willebrand disease (VWD).",ACTIVE,,1,,,,,,Activ; Actvty; Arbitrary concentration; COAGULATION; EIA; ELFA; ELISA; Enzyme immunoassay; Fac; Fact; Hematology; Heme; IAA; MEIA; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; SUDS; Von will; Vonwillebrand; vWf; vWf:Ac,vWf:Ac PPP IA-aCnc,Both,,,arb U/mL,von Willebrand factor (vWf).activity [Units/volume] in Platelet poor plasma by Immunoassay,[arb'U]/mL,,,"Renamed Method from ""Imm"" to ""IA"" for consistency across classes (approved by Laboratory LOINC Committee 2016 12).",8787,0,,,,,,2.44,,vWf.activity IA Qn (PPP)
74808-7,von Willebrand factor.activity actual/Normal^immediately after 1:1 addition of normal plasma,RelRto,Pt,PPP,Qn,IA,COAG,2.73,MIN,Decreased levels of von Willebrand factor (vWF) activity can lead to significant bleeding abnormalities. Decreased levels may be due to decreased production of von Willebrand factor or the presence of an inhibitor. Normal control plasma is added to patient plasma in equal amounts to evaluate the cause of the decreased vWF activity.,ACTIVE,,1,,,,,,Act/Nor; Activ; Actvty; COAGULATION; Control; EIA; ELFA; ELISA; Enzyme immunoassay; Fac; Fact; Hematology; Heme; i; IAA; imm 1:1 NP; MEIA; Movements; Plas; Platelet poor plasma; Point in time; QNT; Quan; Quant; Quantitative; Random; Relative ratio; SUDS; Von will; Vonwillebrand; vWf; vWf:Ac,vWf:Ac Act/Nor imm 1:1 NP PPP IA,Both,,,%,von Willebrand factor (vWf).activity actual/normal in Platelet poor plasma by Immunoassay --immediately after 1:1 addition of normal plasma,%,,,"Renamed Method from ""Imm"" to ""IA"" for consistency across classes (approved by Laboratory LOINC Committee 2016 12).",17026,0,,,,,,2.48,,vWf.activity actual/normal immediately after 1:1 addition of normal plasma IA (PPP) [Relative ratio]
