LOINC_NUM,COMPONENT,PROPERTY,TIME_ASPCT,SYSTEM,SCALE_TYP,METHOD_TYP,CLASS,VersionLastChanged,CHNG_TYPE,DefinitionDescription,STATUS,CONSUMER_NAME,CLASSTYPE,FORMULA,EXMPL_ANSWERS,SURVEY_QUEST_TEXT,SURVEY_QUEST_SRC,UNITSREQUIRED,RELATEDNAMES2,SHORTNAME,ORDER_OBS,HL7_FIELD_SUBFIELD_ID,EXTERNAL_COPYRIGHT_NOTICE,EXAMPLE_UNITS,LONG_COMMON_NAME,EXAMPLE_UCUM_UNITS,STATUS_REASON,STATUS_TEXT,CHANGE_REASON_PUBLIC,COMMON_TEST_RANK,COMMON_ORDER_RANK,HL7_ATTACHMENT_STRUCTURE,EXTERNAL_COPYRIGHT_LINK,PanelType,AskAtOrderEntry,AssociatedObservations,VersionFirstReleased,ValidHL7AttachmentRequest,DisplayName
101229-3,Zinc finger protein of the cerebellum 4 Ab,PrThr,Pt,Ser,Ord,IB,SERO,2.75,MIN,,ACTIVE,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Blt; Immune blot; Immunobl; Immunoblot; Ordinal; Paraneoplastic neurological syndrome; Point in time; PR; Prot; QL; Qual; Qualitative; Random; RIBA; Screen; Serology; Serum; Small Cell Lung Cancer; SR; WB; WBLOT; West blot; West blt; Western blot; Zic4; Zn,Zic4 Ab Ser Ql IB,Both,,,,Zinc finger protein of the cerebellum 4 Ab [Presence] in Serum by Immunoblot,,,,,0,0,,,,,,2.74,,Zinc finger protein of the cerebellum 4 Ab IB Ql (S)
108681-8,Zinc,{Measurement},-,Ser/Plas,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,Lab orders; Msmt; Pl; Plasma; Plsm; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Zn,Zinc Msmt SerPl,Order,,,,Zinc [Measurement] in Serum or Plasma,,,,,0,0,,,,,,2.81,,Zinc [Measurement]
109098-4,Zinc finger protein of the cerebellum 4 Ab,{Measurement},-,Ser,-,,LABORDERS.ONTOLOGY,2.81,ADD,"This term is intended to collate similar measurements for the LOINC SNOMED CT Collaboration in an ontological view. Additionally, it can be used to communicate a laboratory order, either alone or in combination with specimen or other information in the order. It may NOT be used to report back the measured patient value. [https://lo.inc/ce2mb6]",TRIAL,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Lab orders; Msmt; Paraneoplastic neurological syndrome; PR; Prot; Serum; Small Cell Lung Cancer; SR; Zic4; Zn,Zic4 Ab Msmt Ser,Order,,,,Zinc finger protein of the cerebellum 4 Ab [Measurement] in Serum,,,,,0,0,,,,,,2.81,,Zinc finger protein of the cerebellum 4 Ab (S) [Measurement]
14955-9,Zinc,SCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,DRUG/TOXICOLOGY; Drugs; Level; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Substance concentration; Zn,Zinc SerPl-sCnc,Both,,,umol/L,Zinc [Moles/volume] in Serum or Plasma,umol/L,,,,11286,0,,,,,,1.0k,,Zinc [Moles/Vol]
25558-8,Zinc,SCnc,Pt,Ser,Qn,,DRUG/TOX,2.36,DEL,,DEPRECATED,,1,,,,,Y,DRUG/TOXICOLOGY; Drugs; Level; Point in time; QNT; Quan; Quant; Quantitative; Random; Serum; SR; Substance concentration; Zn,Deprecated Zinc Ser-sCnc,,,,,Deprecated Zinc [Molecules/volume] in Serum or Plasma,,Duplicate,,,0,0,,,,,,2.00,,Zinc (S) [Moles/Vol]
38915-5,Zinc finger protein of the cerebellum 4 Ab,PrThr,Pt,Ser,Ord,,SERO,2.56,MIN,,ACTIVE,,1,,,,,N,ABS; Aby; Antby; Anti; Antibodies; Antibody; Autoantibodies; Autoantibody; Ordinal; Paraneoplastic neurological syndrome; Point in time; PR; Prot; QL; Qual; Qualitative; Random; Screen; Serology; Serum; Small Cell Lung Cancer; SR; Zic4; Zn,Zic4 Ab Ser Ql,Both,,,,Zinc finger protein of the cerebellum 4 Ab [Presence] in Serum,,,,"The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.15,,Zinc finger protein of the cerebellum 4 Ab Ql (S)
40937-5,Zinc,PrThr,Pt,Ser/Plas,Ord,,DRUG/TOX,2.56,MIN,,ACTIVE,,1,,,,,N,DRUG/TOXICOLOGY; Drugs; Ordinal; Pl; Plasma; Plsm; Point in time; PR; QL; Qual; Qualitative; Random; Screen; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; Zn,Zinc SerPl Ql,Both,,,,Zinc [Presence] in Serum or Plasma,,,,"The Property has been changed from ACnc to reflect the new model for ordinal terms where results are based on a cut-off value.; The PrThr property is used for LOINC terms whose results are reported using an ordered categorical scale, regardless of whether or not an internal threshold was used to make that determination. This change was approved by the Laboratory LOINC Committee in June 2016.",0,0,,,,,,2.15,,Zinc Ql
5763-8,Zinc,MCnc,Pt,Ser/Plas,Qn,,DRUG/TOX,2.73,MIN,,ACTIVE,,1,,,,,Y,DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; UniversalLabOrders; Zn,Zinc SerPl-mCnc,Both,,,mcg/dL; mg/dL; ng/mL,Zinc [Mass/volume] in Serum or Plasma,ug/mL,,,,807,278,,,,,,1.0,,Zinc [Mass/Vol]
6973-2,Zinc,MCnc,Pt,Plas,Qn,,DRUG/TOX,2.36,DEL,,DEPRECATED,,1,,,,,Y,DRUG/TOXICOLOGY; Drugs; Level; Mass concentration; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; Zn,Deprecated Zinc Plas-mCnc,,,,,Deprecated Zinc [Mass/volume] in Serum or Plasma,,Duplicate,,,0,0,,,,,,1.0h(2),,Zinc (P) [Mass/Vol]
76651-9,Zinc transporter 8 Ab,ACnc,Pt,Ser/Plas,Qn,IA,CHEM,2.73,MIN,"Quantitative determination of ZnT8 Ab in serum or plasma. This term was created for, but not limited in use to, the BioVendor ZnT8 autoantibody (ZnT8 Ab) ELISA kit, which contains antibodies directed to the C terminal domain of ZnT8 (residues 268 - 369).",ACTIVE,,1,,,,,,ABS; Aby; Antby; Anti; Antibodies; Antibody; Arbitrary concentration; Autoantibodies; Autoantibody; Chemistry; EIA; ELFA; ELISA; Endocrine; Endocrinology; Enzyme immunoassay; IAA; MEIA; Pl; Plasma; Plsm; Point in time; QNT; Quan; Quant; Quantitative; Random; SerP; SerPl; SerPlas; Serum; Serum or plasma; SR; SUDS; Zn; ZnT8; ZnT8 Ab,ZnT8 Ab SerPl IA-aCnc,Both,,,arb U/mL,Zinc transporter 8 Ab [Units/volume] in Serum or Plasma by Immunoassay,[arb'U]/mL,,,"The EIA method, which was always intended to cover more than just enzyme-linked immunoassay and whose display name for the long common name has always been Immunoassay, was renamed IA in order to eliminate ambiguity about whether the method has a broader meaning than just enzyme-linked immunoassay. Likewise, EIA.rapid was renamed IA.rapid. These changes were approved by the Laboratory LOINC Committee in June 2016.",3752,0,,,,,,2.52,,Zinc transporter 8 Ab IA Qn
